id;relation;mots;mots_rel;Label
195;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'la', 'ville');('vue', 'ville');1
196;(('ET', 'EG'), ('nmod',));('pied', 'de', 'le', 'Village');('pied', 'Village');1
197;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('non loin', 'de', 'la', 'technopole', 'de', 'Sophia Antipolis');('non loin', 'technopole', 'Sophia Antipolis');0
198;(('ET', 'EG'), ('nmod',));('proche', 'de', 'l', 'accès autoroute');('proche', 'accès autoroute');1
199;(('ET', 'EG'), ('conj',));('proche', 'de', 'l', 'accès autoroute', ',', 'des', 'transports');('proche', 'transports');1
200;(('ET', 'EG', 'EG'), ('conj', 'conj'));('proche', 'de', 'l', 'accès autoroute', ',', 'des', 'transports', ',', 'commerces');('proche', 'transports', 'commerces');1
201;(('ET', 'EG', 'EG'), ('conj', 'conj'));('proche', 'de', 'l', 'accès autoroute', ',', 'des', 'transports', ',', 'commerces', ',', 'commodités');('proche', 'transports', 'commodités');1
202;(('ET', 'EG'), ('nmod',));('non loin', 'de', 'la', 'technopole');('non loin', 'technopole');1
203;(('ET', 'ADJ', 'EG'), ('amod', 'obl:mod'));('vue', 'agréablement', 'dégagée', 'sur', 'la', 'verdure');('vue', 'dégagée', 'verdure');1
204;(('EG', 'ET'), ('conj',));('transports', ',', 'commerces', ',', 'commodités', 'et', 'non loin');('transports', 'non loin');0
205;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'la', 'marina');('vue', 'marina');1
206;(('ET', 'EG'), ('nmod',));('coeur', 'de', 'la', 'technopole');('coeur', 'technopole');1
207;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('minutes', 'de', 'le', '.', 'marché', 'Forville');('minutes', 'marché', 'Forville');0
208;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'le', '.', 'marché');('minutes', 'marché');1
209;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'les', 'jardins');('vue', 'jardins');1
210;(('TOPONYME', 'VERB', 'ET'), ('acl', 'obl:arg'));('Haut Forville', 'Duplex', '2Pièces', 'meublé', 'CANNES', ',', 'situé', 'à', 'trois', 'minutes');('Haut Forville', 'situé', 'minutes');0
211;(('TOPONYME', 'VERB', 'ET'), ('acl', 'obl:mod'));('Haut Forville', 'Duplex', '2Pièces', 'meublé', 'CANNES', ',', 'situé', 'à', 'trois', 'minutes', 'de', 'le', '.', 'marché', 'Forville', 'et', 'en', 'rez', 'de', 'chaussée', 'd', 'uns', 'superbe', 'bâtisse', 'bourgeoise', 'avec', 'vue');('Haut Forville', 'situé', 'vue');0
212;(('ET', 'TOPONYME'), ('nmod',));('m', 'de', 'la', 'Pinède');('m', 'Pinède');1
213;(('ET', 'TOPONYME', 'TOPONYME'), ('nmod', 'nmod'));('m', 'de', 'la', 'Pinède', 'de', 'Juan les Pins');('m', 'Pinède', 'Juan les Pins');0
214;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('m', 'de', 'la', 'Pinède', 'de', 'Juan les Pins', 'et', 'de', 'les', 'plages de sable');('m', 'Pinède', 'plages de sable');1
215;(('ET', 'EG'), ('nmod',));('coeur', 'd', 'un', 'quartier');('coeur', 'quartier');1
216;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('pas', 'de', 'la', 'rue', 'Saint Sauveur');('pas', 'rue', 'Saint Sauveur');0
217;(('ET', 'EG'), ('nmod',));('pas', 'de', 'la', 'rue');('pas', 'rue');1
218;(('TOPONYME', 'ET'), ('nmod',));('Cannet', ',', 'centre historique', ',', 'à', 'deux', 'pas');('Cannet', 'pas');1
219;(('ET', 'EG'), ('nmod',));('retrait', 'de', 'la', 'route');('retrait', 'route');1
220;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'toutes', 'les', 'commodités');('proche', 'commodités');1
221;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'toutes', 'les', 'commodités', ',', 'écoles');('proche', 'commodités', 'écoles');1
222;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'toutes', 'les', 'commodités', ',', 'écoles', ',', 'commerces');('proche', 'commodités', 'commerces');1
223;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'toutes', 'les', 'commodités', ',', 'écoles', ',', 'commerces', ',', 'et', 'principaux', 'axes routiers');('proche', 'commodités', 'axes routiers');1
224;(('TOPONYME', 'NOUN', 'ET'), ('nmod', 'nmod'));('La Trinité', 'Charmant', 'appartement', 'villa', 'de', 'type', '3', 'pièces', 'dans', 'une', 'petite', '.', 'résidence', ',', 'à', 'le', 'calme', 'absolu', 'en', 'retrait');('La Trinité', 'calme', 'retrait');0
225;(('TOPONYME', 'ET'), ('conj',));('La Trinité', 'Charmant', 'appartement', 'villa', 'de', 'type', '3', 'pièces', 'dans', 'une', 'petite', '.', 'résidence', ',', 'à', 'le', 'calme', 'absolu', 'en', 'retrait', 'de', 'la', 'route', 'et', 'proche');('La Trinité', 'proche');0
226;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'appos'));('proche', 'de', 'le', 'marché', 'Forville');('proche', 'marché', 'Forville');0
227;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'le', 'marché');('proche', 'marché');1
228;(('ET', 'EG', 'TOPONYME'), ('nmod', 'conj'));('vue', 'panoramique', 'sur', 'la', 'mer', 'et', 'les', 'Alpes');('vue', 'mer', 'Alpes');1
229;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('m', 'de', 'le', 'centre', 'de', 'Juan les Pins');('m', 'centre', 'Juan les Pins');0
230;(('ET', 'EG'), ('nmod',));('vue', 'panoramique', 'sur', 'la', 'mer');('vue', 'mer');1
231;(('ET', 'EG'), ('nmod',));('m', 'de', 'le', 'centre');('m', 'centre');1
232;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('m', 'de', 'le', 'centre', 'de', 'Juan les Pins', 'et', 'de', 'ses', 'plages de sable');('m', 'centre', 'plages de sable');1
233;(('ET', 'EG'), ('nmod',));('coeur', 'd', 'une', 'belle', 'zone résidentielle');('coeur', 'zone résidentielle');1
234;(('ET', 'TOPONYME'), ('nmod',));('m', 'de', 'la', 'Pinède');('m', 'Pinède');1
235;(('ET', 'TOPONYME', 'TOPONYME'), ('nmod', 'nmod'));('m', 'de', 'la', 'Pinède', 'de', 'Juan les Pins');('m', 'Pinède', 'Juan les Pins');0
236;(('ET', 'EG'), ('nmod',));('Vue', 'panoramique', 'sur', 'la', 'côte');('Vue', 'côte');1
237;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('m', 'de', 'la', 'Pinède', 'de', 'Juan les Pins', 'et', 'de', 'les', 'plages de sable');('m', 'Pinède', 'plages de sable');1
238;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('m', 'de', 'la', 'Pinède', 'de', 'Juan les Pins', 'et', 'de', 'les', 'plages de sable', 'en', 'plein', 'coeur', 'd', 'un', 'quartier', 'résidentiel', 'et', 'calme', 'mais', 'aussi', 'à', 'proximité', 'de', 'les', 'commerces');('m', 'proximité', 'commerces');0
239;(('ET', 'EG'), ('nmod',));('proximité', 'de', 'les', 'commerces');('proximité', 'commerces');1
240;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'les', 'commerces', ',', 'et', 'restaurants');('proximité', 'commerces', 'restaurants');1
241;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('m', 'de', 'la', 'Pinède', 'de', 'Juan les Pins');('m', 'Pinède', 'Juan les Pins');0
242;(('ET', 'EG'), ('nmod',));('Vue', 'panoramique', 'sur', 'la', 'côte');('Vue', 'côte');1
243;(('ET', 'EG'), ('nmod',));('m', 'de', 'la', 'Pinède');('m', 'Pinède');1
244;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('m', 'de', 'la', 'Pinède', 'de', 'Juan les Pins', 'et', 'de', 'les', 'plages de sable', 'en', 'plein', 'coeur', 'd', 'un', 'quartier', 'résidentiel', 'et', 'calme', 'mais', 'aussi', 'à', 'proximité', 'de', 'les', 'commerces');('m', 'proximité', 'commerces');0
245;(('ET', 'EG'), ('nmod',));('coeur', 'd', 'un', 'quartier');('coeur', 'quartier');1
246;(('ET', 'EG'), ('nmod',));('proximité', 'de', 'les', 'commerces');('proximité', 'commerces');1
247;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'les', 'commerces', ',', 'et', 'restaurants');('proximité', 'commerces', 'restaurants');1
248;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'le', 'centre ville', 'de', 'Monaco');('minutes', 'centre ville', 'Monaco');0
249;(('ET', 'TOPONYME'), ('conj',));('min', 'et', 'à', 'Nice');('min', 'Nice');0
250;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'le', 'centre ville');('minutes', 'centre ville');1
251;(('EG', 'EG', 'ET'), ('appos', 'nmod'));('Train SNCF', ':', 'gare', 'de', 'Monaco', 'à', '15', 'min');('Train SNCF', 'gare', 'min');0
252;(('EG', 'ET'), ('nmod',));('gare', 'de', 'Monaco', 'à', '15', 'min');('gare', 'min');1
253;(('ET', 'EG'), ('nmod',));('vue', 'à', '180', 'e', 'sur', 'la', 'mer');('vue', 'mer');1
254;(('ET', 'EG'), ('nmod',));('pas', 'de', 'la', 'plage');('pas', 'plage');1
255;(('ET', 'EG'), ('nmod',));('m', 'de', 'la', 'Poste');('m', 'Poste');1
256;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('services', 'à', 'proximité');('services', 'à', 'proximité');1
257;(('EG', 'ET'), ('nmod',));('plage', '100', 'm');('plage', 'm');1
258;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
259;(('ET', 'EG'), ('nmod',));('min', 'à', 'pied', 'de', 'le', 'centre ville');('min', 'centre ville');1
260;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('min', 'à', 'pied', 'de', 'le', 'centre ville', 'et', 'à', '10', 'min', 'de', 'la', 'plage');('min', 'min', 'plage');0
261;(('ET', 'EG'), ('nmod',));('min', 'de', 'la', 'plage');('min', 'plage');1
262;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('commerces', 'à', 'proximité');('commerces', 'à', 'proximité');0
263;(('EG', 'ET'), ('nmod',));('Gare', 'de', 'Menton', 'à', '5', 'minutes');('Gare', 'minutes');1
264;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'à', 'pied', 'de', 'le', 'centre', 'de', 'Cannes');('minutes', 'centre', 'Cannes');0
265;(('ET', 'EG'), ('nmod',));('minutes', 'à', 'pied', 'de', 'le', 'centre');('minutes', 'centre');1
266;(('TOPONYME', 'ET'), ('root',));('minutes', 'à', 'pied', 'de', 'le', 'centre', 'de', 'Cannes');('Cannes', 'minutes');0
267;(('EG', 'ET'), ('nmod',));('commerces', 'à', 'le', 'pied');('commerces', 'pied');1
268;(('EG', 'TOPONYME', 'ET'), ('nmod', 'root'));('minutes', 'à', 'pied', 'de', 'le', 'centre', 'de', 'Cannes');('centre', 'Cannes', 'minutes');0
269;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'Beaulieu Sur Mer');('coeur', 'Beaulieu Sur Mer');1
270;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
271;(('ET', 'EG'), ('appos',));('vue', 'mer');('vue', 'mer');1
272;(('EG', 'NOUN', 'ET'), ('root', 'nmod'));('pièces', 'rénové', 'avec', 'vue', 'mer');('mer', 'pièces', 'vue');0
273;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'le', 'port');('minutes', 'port');1
274;(('EG', 'MD', 'ET'), ('nmod', 'root'));('minutes', 'de', 'le', 'port', 'à', 'pied');('port', 'pied', 'minutes');0
275;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'Cannes la bocca');('coeur', 'Cannes la bocca');1
276;(('EG', 'ET'), ('advmod',));('pas', 'des', 'plages');('plages', 'pas');1
277;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('pas', 'de', 'la', 'rue', 'Saint Sauveur');('pas', 'rue', 'Saint Sauveur');0
278;(('ET', 'EG'), ('nmod',));('pas', 'de', 'la', 'rue');('pas', 'rue');1
279;(('TOPONYME', 'ET'), ('nmod',));('Cannet', ',', 'centre historique', ',', 'à', 'deux', 'pas');('Cannet', 'pas');1
280;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'centre ville');('pas', 'centre ville');1
281;(('ET', 'ET', 'EG'), ('conj', 'obl:arg'));('pas', 'de', 'le', 'centre ville', ',', 'proche', 'de', 'toutes', 'commodités');('pas', 'proche', 'commodités');0
282;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'toutes', 'commodités');('proche', 'commodités');1
283;(('EG', 'ET'), ('nmod',));('gare', 'à', 'quelques', 'pas');('gare', 'pas');1
284;(('ET', 'EG'), ('appos',));('vue', 'mer');('vue', 'mer');1
285;(('EG', 'ET'), ('nmod',));('VUE', 'MER');('MER', 'VUE');1
286;(('ET', 'EG'), ('nmod',));('pas', 'de', 'la', 'plage');('pas', 'plage');1
287;(('ET', 'EG'), ('nmod',));('m', 'de', 'la', 'Poste');('m', 'Poste');1
288;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('services', 'à', 'proximité');('services', 'à', 'proximité');1
289;(('EG', 'ET'), ('nmod',));('plage', '100', 'm');('plage', 'm');1
290;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'le', 'tramway');('proche', 'tramway');1
291;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'à', 'pieds', 'de', 'Monaco');('minutes', 'Monaco');1
292;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'conj'));('proche', 'de', 'les', 'des', 'commodités', ',', 'des', 'écoles', 'et', 'de', 'Monaco');('proche', 'commodités', 'Monaco');1
293;(('ET', 'NOUN', 'EG'), ('conj', 'appos'));('vue', 'vallon', 'et', 'échapée', 'mer');('vue', 'échapée', 'mer');0
294;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'les', 'des', 'commodités');('proche', 'commodités');1
295;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'les', 'des', 'commodités', ',', 'des', 'écoles');('proche', 'commodités', 'écoles');1
296;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'Sophia Antipolis');('coeur', 'Sophia Antipolis');1
297;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'toutes', 'les', 'commodités');('proche', 'commodités');1
298;(('ET', 'EG'), ('nmod',));('proche', 'de', 'toutes', 'les', 'commodités');('proche', 'commodités');1
299;(('ET', 'EG', 'EG'), ('nmod', 'appos'));('proche', 'de', 'toutes', 'les', 'commodités', '(', 'commerces');('proche', 'commodités', 'commerces');0
300;(('TOPONYME', 'ET'), ('conj',));('NICE', 'NORD', ',', 'quartier', 'le', 'RAY', ',', 'à', 'le', 'calme', 'absolu', 'et', 'proche');('NICE', 'proche');0
301;(('ET', 'TOPONYME'), ('conj',));('VUE', 'MER', 'PANORAMIQUE', '2', 'pièces', 'terrasse', 'Vue', 'panoramique', 'mer', 'exceptionnelle', ',', 'Cap Ferrat');('VUE', 'Cap Ferrat');0
302;(('ET', 'TOPONYME', 'TOPONYME'), ('conj', 'conj'));('VUE', 'MER', 'PANORAMIQUE', '2', 'pièces', 'terrasse', 'Vue', 'panoramique', 'mer', 'exceptionnelle', ',', 'Cap Ferrat', ',', 'Cap d Antibes');('VUE', 'Cap Ferrat', 'Cap d Antibes');0
303;(('ET', 'EG'), ('nmod',));('VUE', 'MER');('VUE', 'MER');1
304;(('ET', 'TOPONYME', 'EG'), ('conj', 'nmod'));('VUE', 'MER', 'PANORAMIQUE', '2', 'pièces', 'terrasse', 'Vue', 'panoramique', 'mer', 'exceptionnelle', ',', 'Cap Ferrat', ',', 'Cap d Antibes', 'pour', 'ce', '2', 'pièces', 'traversant', 'à', 'L', 'Abbaye');('VUE', 'Cap Ferrat', 'Abbaye');0
305;(('ET', 'EG'), ('nmod',));('Vue', 'panoramique', 'mer');('Vue', 'mer');1
306;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'la', 'mer');('minutes', 'mer');1
307;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('minutes', 'de', 'la', 'mer', 'et', 'de', 'le', 'tramway');('minutes', 'mer', 'tramway');1
308;(('ET', 'EG'), ('nmod',));('vue', 'verdure');('vue', 'verdure');1
309;(('EG', 'ET'), ('nmod',));('vue', 'mer');('mer', 'vue');1
310;(('ET', 'EG'), ('appos',));('vue', 'panoramique', 'mer');('vue', 'mer');1
311;(('ET', 'EG', 'EG'), ('appos', 'conj'));('vue', 'panoramique', 'mer', 'et', 'montagnes');('vue', 'mer', 'montagnes');1
312;(('ET', 'EG'), ('nmod',));('non loin', 'de', 'le', 'centre ville');('non loin', 'centre ville');1
313;(('EG', 'VERB', 'ET'), ('acl:relcl', 'obl:arg'));('centre ville', 'qui', 'se', 'situe', 'à', 'seulement', '10', 'minutes');('centre ville', 'situe', 'minutes');1
314;(('ET', 'EG', 'TOPONYME'), ('conj', 'nmod'));('retrait', 'de', 'la', 'rue', 'et', 'entourée', 'd', 'un', 'côté', 'par', 'des', 'jardins', 'privés', 'et', ',', 'de', 'l', 'autre', ',', 'par', 'les', 'hauteurs', 'arborées', 'de', 'Mandelieu');('retrait', 'hauteurs', 'Mandelieu');0
315;(('ET', 'EG'), ('nmod',));('retrait', 'de', 'la', 'rue');('retrait', 'rue');1
316;(('ET', 'EG'), ('conj',));('retrait', 'de', 'la', 'rue', 'et', 'entourée', 'd', 'un', 'côté', 'par', 'des', 'jardins', 'privés', 'et', ',', 'de', 'l', 'autre', ',', 'par', 'les', 'hauteurs');('retrait', 'hauteurs');0
317;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'route');('minutes', 'route');1
318;(('EG', 'VERB', 'ET'), ('acl', 'obl:arg'));('commodités', ',', 'situé', 'à', '1,5', 'kilomètre');('commodités', 'situé', 'kilomètre');1
319;(('EG', 'ET'), ('nmod',));('hypercentre cannois', 'à', '20', 'minutes');('hypercentre cannois', 'minutes');1
320;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('retrait', 'de', 'l', 'avenue', 'Janvier Passero');('retrait', 'avenue', 'Janvier Passero');0
321;(('ET', 'EG'), ('nmod',));('retrait', 'de', 'l', 'avenue');('retrait', 'avenue');1
322;(('ET', 'EG'), ('nmod',));('min', 'de', 'l', 'accès A8');('min', 'accès A8');1
323;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('min', 'de', 'l', 'accès A8', 'et', 'de', 'la', 'gare routière');('min', 'accès A8', 'gare routière');1
324;(('TOPONYME', 'ET'), ('nmod',));('Mandelieu', ',', 'en', 'retrait');('Mandelieu', 'retrait');0
325;(('ET', 'EG'), ('nmod',));('cœur', 'de', 'le', 'centre ville');('cœur', 'centre ville');1
326;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'toutes', 'commodités');('proche', 'commodités');1
327;(('ET', 'EG'), ('nmod',));('Vue', 'Mer');('Vue', 'Mer');1
328;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'collège');('pas', 'collège');1
329;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pas', 'de', 'le', 'collège', 'et', 'écoles primaires');('pas', 'collège', 'écoles primaires');1
330;(('ET', 'EG'), ('nmod',));('proche', 'commerces');('proche', 'commerces');1
331;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proche', 'commerces', 'et', 'transport');('proche', 'commerces', 'transport');1
332;(('EG', 'ET'), ('conj',));('collège', 'et', 'écoles primaires', ',', 'proche');('collège', 'proche');0
333;(('ET', 'EG'), ('nmod',));('km', 'de', 'la', 'plage');('km', 'plage');1
334;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'le', 'centre ville');('minutes', 'centre ville');1
335;(('ET', 'ET', 'EG'), ('amod', 'obl:arg'));('minutes', 'de', 'le', 'centre ville', ',', 'proche', 'de', 'l', 'hôpital');('minutes', 'proche', 'hôpital');0
336;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'l', 'hôpital');('proche', 'hôpital');1
337;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'l', 'hôpital', 'et', 'de', 'les', 'commerces');('proche', 'hôpital', 'commerces');1
338;(('ET', 'MD', 'EG'), ('nmod', 'nmod'));('Proximité', 'à', 'pieds', 'de', 'les', 'commerces');('Proximité', 'pieds', 'commerces');1
339;(('ET', 'TOPONYME'), ('nmod',));('pied', 'de', 'la', 'Corniche Fleurie');('pied', 'Corniche Fleurie');1
340;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'nmod'));('Proximité', 'également', 'de', 'la', 'plaine', 'de', 'le Var');('Proximité', 'plaine', 'le Var');0
341;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('pied', 'de', 'la', 'Corniche Fleurie', 'et', 'de', 'le', 'Tram 3');('pied', 'Corniche Fleurie', 'Tram 3');1
342;(('ET', 'EG'), ('obl:arg',));('Proximité', 'également', 'de', 'la', 'plaine');('Proximité', 'plaine');1
343;(('ET', 'EG', 'EG'), ('obl:arg', 'appos'));('Proximité', 'également', 'de', 'la', 'plaine', 'de', 'le Var', '(', 'Stade');('Proximité', 'plaine', 'Stade');0
344;(('ET', 'ADV', 'EG'), ('conj', 'nsubj'));('Proximité', 'également', 'de', 'la', 'plaine', 'de', 'le Var', '(', 'Stade', 'Alliance', ',', 'Ikéa', 'bientôt', ',', 'Leclerc', ',', 'Carrefour', '.', 'et', 'les', 'montagnes', 'ne', 'sont', 'pas', 'loin');('Proximité', 'loin', 'montagnes');0
345;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'les', 'collines environnantes');('vue', 'collines environnantes');1
346;(('EG', 'ET'), ('nmod',));('Entrée d autoroute', 'à', '5', 'minutes');('Entrée d autoroute', 'minutes');1
347;(('EG', 'EG', 'ET'), ('appos', 'nmod'));('Entrée d autoroute', 'à', '5', 'minutes', ',', 'centre ville', 'aéroport', 'plages', 'à', '15', 'min');('Entrée d autoroute', 'aéroport', 'min');0
348;(('EG', 'ET'), ('nmod',));('aéroport', 'plages', 'à', '15', 'min');('aéroport', 'min');1
349;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('sein', 'de', 'le', 'très', 'prisé', 'quartier', 'de', 'Tournamy');('sein', 'quartier', 'Tournamy');0
350;(('ET', 'EG'), ('nmod',));('sein', 'de', 'le', 'très', 'prisé', 'quartier');('sein', 'quartier');1
351;(('ET', 'EG'), ('obj',));('Proche', 'des', 'écoles');('Proche', 'écoles');1
352;(('ET', 'EG', 'EG'), ('obj', 'conj'));('Proche', 'des', 'écoles', ',', 'des', 'commerces');('Proche', 'écoles', 'commerces');1
353;(('ET', 'EG', 'EG'), ('obj', 'conj'));('Proche', 'des', 'écoles', ',', 'des', 'commerces', 'et', 'des', 'axes routiers');('Proche', 'écoles', 'axes routiers');1
354;(('EG', 'ET'), ('parataxis',));('Village', 'à', 'pied', '!', '.', 'Proche');('Village', 'Proche');0
355;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'Cannes');('coeur', 'Cannes');1
356;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'l', 'accès autoroute');('minutes', 'accès autoroute');1
357;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'la', 'plage');('proximité', 'plage');1
358;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'immédiate', 'de', 'la', 'plage', ',', 'de', 'les', 'commerces');('proximité', 'plage', 'commerces');1
359;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'immédiate', 'de', 'la', 'plage', ',', 'de', 'les', 'commerces', 'et', 'de', 'la', 'place');('proximité', 'plage', 'place');1
360;(('ET', 'EG'), ('nmod',));('coeur', 'de', 'le', 'centre ville');('coeur', 'centre ville');1
361;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'Mougins village');('vue', 'Mougins village');1
362;(('ET', 'EG'), ('appos',));('échappée', 'mer');('échappée', 'mer');1
363;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'la', 'Croix de les Gardes');('coeur', 'Croix de les Gardes');1
364;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('mn', 'de', 'l', 'école', 'Stanislas');('mn', 'école', 'Stanislas');0
365;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('mn', 'de', 'les', 'centres', 'Leclerc');('mn', 'centres', 'Leclerc');0
366;(('ET', 'EG'), ('nmod',));('mn', 'de', 'l', 'école');('mn', 'école');1
367;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'les', 'montagnes');('vue', 'montagnes');1
368;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'dégagée', 'sur', 'les', 'montagnes', 'et', 'les', 'collines');('vue', 'montagnes', 'collines');1
369;(('ET', 'EG'), ('nmod',));('mn', 'de', 'les', 'centres');('mn', 'centres');1
